TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
29-11-2023,30.9,88,1.4,4,1
30-11-2023,30,93,3,7,2
01-12-2023,30.7,91,157.1,4,1
02-12-2023,29.6,90,57.7,3,1
03-12-2023,28.5,88,0.9,5,1
04-12-2023,29.3,91,9.2,4,1
05-12-2023,30.6,89,6.1,2,1
06-12-2023,30.9,90,1.5,4,1
07-12-2023,31,85,62,4,2
08-12-2023,30.8,84,8888,5,2
09-12-2023,30,90,0,3,1
10-12-2023,28.5,90,13.6,3,2
11-12-2023,30.1,88,0,6,2
12-12-2023,28.9,89,2.4,3,1
13-12-2023,30.5,87,1,3,1
14-12-2023,31.9,89,3.7,4,1
15-12-2023,31.1,88,37.4,4,1
16-12-2023,31.4,84,8.3,8,2
17-12-2023,31.6,84,0,6,2
18-12-2023,29.4,92,15.8,4,1
19-12-2023,29.5,88,9.3,5,2
20-12-2023,30.1,85,13.8,6,2
21-12-2023,30,91,8888,5,3
22-12-2023,30.4,88,5.9,8,4
23-12-2023,-,96,4.6,3,1
24-12-2023,30.8,86,63.8,4,2
25-12-2023,30.6,85,0.2,7,3
26-12-2023,30.8,88,1.8,8,3
27-12-2023,26.5,96,35.8,5,2
28-12-2023,28.4,94,33.5,4,1
29-12-2023,31.2,87,35.2,5,2
30-12-2023,30.4,87,8888,8,3
31-12-2023,27.9,94,0.7,5,2
01-01-2024,-,96,27.4,5,1
02-01-2024,31.1,86,16.3,7,2
03-01-2024,29.9,90,2,13,3
04-01-2024,24.5,97,59.2,5,2
05-01-2024,28.3,92,134.3,11,3
06-01-2024,30.4,86,3,5,2
07-01-2024,25.8,96,5.3,3,1
08-01-2024,30.6,88,63.7,6,2
09-01-2024,29.7,88,3.8,4,2
10-01-2024,30.5,87,2.3,6,2
11-01-2024,29.9,88,7.5,5,3
12-01-2024,27.4,95,0.4,4,2
13-01-2024,28.3,89,58.2,6,2
14-01-2024,29.3,88,8888,10,4
15-01-2024,30.4,86,3.2,9,3
16-01-2024,28.2,92,7.3,8,2
17-01-2024,30.2,87,47.2,7,3
18-01-2024,28.7,89,1.7,7,3
19-01-2024,28.7,94,6.9,10,2
20-01-2024,25.9,92,66.2,5,2
21-01-2024,30.5,83,3,6,3
